ID	description	image	product	period	repository	production site	find site	style	motif	technique	structure	culture	composition	component	thread 1	material	type of torsion	colour of the thread strands	thickness	direction of torsion	torsion of thread	thread 2	thread 3	fabric	colour	number of colour layers	contrast	finish	motif attribute	scene	sequence	symmetry	size	usage	direction of warp	thread 4	thread 5	thread 6
ILCA_ILCA082	"Capacho festivo de forma rectangular larga, de Compi, en la región del lago Titicaca, Bolivia, en el Altiplano norte, de estilo Omasuyos.
El capacho está tejido en faz de urdimbre, y elaborado de lana acrílica con colores artificiales.
La estructura del capacho es urdida a dos, con la técnica de escogido, con conteo por par, 2|2, y por impar derivado, 2|1.
El capacho lleva un acabado en los dos costados y la boca de tubular simple en color azul.
Como accesorio festivo, el capacho lleva un conjunto de piezas adjuntas y cuenta con colores vivos.
De la parte inferior de la bolsa cuelgan tres conjuntos de borlas grandes en colores con degradeo en k'isadas, y de los costados de la bolsa cuelga otro conjunto de borlas en cada lado.
El capacho cuenta con una tira adjuntada con puntada en faz de urdimbre, con una banda de diseños de motivos H en el eje central.
El huato tiene estructura urdida a tres, y técnica de escogido con conteo por par, 2|2.
La composición mayor del capacho es de tres bandas mayores de diseños, con figuras parecidas a letras, y entre ellas se tiene dos bandas menores de diseños con motivos de rombos en fila vertical con puntos adentro.
Los dos bordes de la bolsa tienen listas medianas en rojo.
Cada banda de diseños está flanqueada por listas organizadas en un degradeo de color (k'isada).
El orden de las k'isas en la bolsa en su totalidad es de una madre k'isa en verde en cada borde, que se repite en el eje central de la bolsa.
En el espacio intermedio, se tiene dos más k'isas de rosado y anaranjado, pero de forma asimétrica, es orden de un lado al otro de la bolsa siendo k'isa verde, rosado, anaranjado, verde, anaranjado, rosado y verde.
"	['ILCA082_IMG_8194.jpg', 'ILCA082_IMG_8197.jpg', 'ILCA082_IMG_8198.jpg', 'ILCA082_IMG_8199.jpg', 'ILCA082_IMG_8200.jpg', 'ILCA082_IMG_8201.jpg']	Daily workbag	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Bolivia, Compi, North Altiplano		Omasuyos	'H' motif, Diamond in general, Letters in general, Medium-sized stripe, Multiple ladder motif, Single ladder motif	Multiple ladder technique with figure, and even count, 2|2, Selected technique with basic odd count, 1|1	Simple warp-faced structure, warped in 2 layers	Aymara-Omasuyos	Grouping of bands, Grouping of strips	Structural component	Warp thread	Acrylic wool						Weft thread		Warp-faced cloth			Major contrast	Constructed opening, Simple structural tubular finishing										
ILCA_ILCA083	"Bolsa-chuspa contemporánea de forma rectangular larga, de ayllu Qaqachaka, en el Altiplano central de Bolivia, de estilo Asanaque, subestilo Qaqachaka.
La bolsa-chuspa está tejida en faz de urdimbre de dos caras, y elaborada con fibra de camélido en colores naturales y de lana de ovino en colores artificiales.
La estructura de la bolsa-chuspa es urdida a dos, con la técnica de escogido con conteo por par, 2|2.
La bolsa tiene adjuntado un huato trenzado en color café.
Los dos costados y la boca de la bolsa-chuspa llevan un acabado de tubular simple en color negro.
La parte inferior de la bolsa-chuspa tiene un acabado de encandelillado con bordado de puntada en cadena encima.
La composición mayor de la bolsa-chuspa es de una banda mayor en el eje central con motivos geométricos de caballos con jinete.
Los bordes laterales tienen listas medianas y angostas y una franja de motivos de zigzag con volutas y otra franja de motivos de ojitos o cadenitas.
La gama cromática de la bolsa-chuspa es de color blanco como claro, y negro y café como oscuros.
"	['ILCA083_IMG_8221.jpg']	Ceremonial coca bag	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Bolivia, Central Altiplano, Qaqachaka-Livichuco		Asanaque	Horse with horseman, Medium-sized stripe, Narrow stripe, Single ladder motif, Volutes in zigzag	Selected technique counted in pairs, 2|2	Simple warp-faced structure, warped in 2 layers	Aymara-Quechua-Asanaque	Grouping of bands, Grouping of strips	Structural component	Warp thread							Weft thread		Warp-faced cloth			Major contrast	Chain-stitch, Constructed opening, Simple structural tubular finishing										
ILCA_ILCA084	"Bolsa-chuspa contemporánea de forma cuadrada, de ayllu Qaqachaka, en el Altiplano central de Bolivia, de estilo Asanaque, subestilo Qaqachaka.
La bolsa-chuspa está tejida en faz de urdimbre de dos caras, y elaborada en lana de ovino en colores naturales.
La estructura de la bolsa-chuspa es urdida a dos, con la técnica de escogido con conteo por par, 2|2.
La bolsa tiene adjuntada un huato trenzado en color blanco y negro.
Los dos costados y la boca de la bolsa llevan un acabado de croché en color verde y violeta clara, alternando los colores.
La parte inferior de la bolsa-chuspa tiene un acabado de encandelillado con un bordado de puntada encima.
La composición mayor de la bolsa es de una banda mayor en el eje central con diseños en segmentos (tika) de motivos de patos con crías y semillas.
Los bordes laterales tienen listas medianas y angostas con un degradeo de color de rojo oscuro a rojo claro, y una franja de líneas en diagonal.
La gama cromática de la bolsa es de color blanco como claro, y negro y guindo como oscuros.
"	['ILCA084_IMG_8223.jpg']	Ceremonial coca bag	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Bolivia, Central Altiplano, Qaqachaka-Livichuco		Asanaque	Diagonal line, Marshy bird, Medium-sized stripe	Selected technique counted in pairs, 2|2	Simple warp-faced structure, warped in 2 layers	Aymara-Quechua-Asanaque	Grouping of bands, Grouping of strips	Structural component	Warp thread	Wool fibre						Weft thread		Warp-faced cloth			Major contrast	Chain-stitch, Constructed opening, Crochet applied to the outside										
ILCA_ILCA085	"Guantes modernos, probablemente de la región de Cusco en la Sierra sur del Perú.
Los guantes están tejidas en técnica para malla con palillo, y elaborados en lana de ovino y lana acrílica.
Los guantes llevan una composición de una banda central con líneas horizontales y una fila horizontal de rombos.
"	['ILCA085_IMG_8248.jpg']	Gloves	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Cusco, Peru, South sierra		Cusco	Diamond in general, Medium-sized stripe	Mesh technique with knitting	Mesh structure with one element	Quechua-Cusco	Band											Mesh			Minor contrast											
ILCA_ILCA086	"Faja ancha festiva de ayllu Qaqachaka en el Altiplano central de Bolivia, de estilo Asanaque, subestilo Qaqachaka.
La faja está tejida en faz de urdimbre, y elaborada en lana acrílica de colores artificiales.
Los bordes laterales de la faja llevan un acabado de croché en tres colores.
La estructura de la faja es urdida en cuatro capas, de forma muy compleja, con técnica de reescogido por cantidad (ajllira) con conteo por impar derivado, 2|1.
La composición mayor de la faja es de una banda en el eje central de diseños de zigzag horizontal con volutas adentro, con rombos en las puntas al inicio y al final de los zigzags.
Los bordes laterales de la faja llevan listas angostas de color, y terminan con una lista mediana de color rojo.
"	['ILCA086_IMG_5428.jpg']	Wide belt	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Qaqachaka, Bolivia, Central Altiplano		Asanaque	Narrow stripe, Volutes in zigzag	Reselected technique selected in groups, with a derived odd count, 2|1	Complex warp-faced structure, warped in 4 layers	Aymara-Quechua-Asanaque	Band, Grouping of strips	Structural component	Warp thread	Acrylic wool						Weft thread		Warp-faced cloth			Major contrast	Crochet applied to the outside										
ILCA_ILCA087	"Huato o tirinsa de forma tubular, de ayllu Qaqachaka, en el Altiplano central de Bolivia, de estilo Asanaque, subestilo Qaqachaka.
El huato está elaborado en lana acrílica, en una estructura simple para tubular, con la técnica de urdimbre cruzada con 1 trama, con tres colores (en lana acrílica) y con motivos de rombos (como variante del ojo de paloma complejo).
"	['ILCA087_IMG_8230.jpg']	Bagstrap	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Qaqachaka, Bolivia, Central Altiplano		Asanaque	Chichilla	Tubular technique	Simple tubular structure	Aymara-Quechua-Asanaque	Band		Warp thread	Acrylic wool						Weft thread		Tubular			Major contrast											
ILCA_ILCA088	"Huato o tirinsa, de ayllu Qaqachaka, en el Altiplano central de Bolivia, de estilo Asanaque, subestilo Qaqachaka.
El huato tienen una estructura compleja para urdimbre cruzada con 1 trama, urdida a 1, con 3 colores y 8 urdimbres, y técnica de urdimbre cruzada con 1 trama, con motivos de ojo de paloma complejo (apsu ulpiskitu).
"	['ILCA088_IMG_8229.jpg']	Bagstrap	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Qaqachaka, Bolivia, Central Altiplano		Asanaque	Dove's eye	Crossed warp technique with 1 weft - dove's eye	Complex crossed warp structure with 1 weft, warped in 1 layer, with 3 colours and 8 warp threads	Aymara-Quechua-Asanaque	Band	Structural component	Warp thread	Acrylic wool						Weft thread		Crossed warp weave			Major contrast											
ILCA_ILCA089	"Cintilla de sombrero festiva o irsipilla de Qaqachaka, en faz de trama , elaborada de lana acrílica con colores artificiales y con un tipo de brillo metálico en algunos hilos.
La estructura es urdida a uno, con técnica de tramas suplementarias - figura de trama, de una sola cara.
La composición es de figuras de volutas en zigzag.
La cinta cuenta con un colgante con dos borlas de urdimbre entrelazada, de tipo liryu k'ana, y las borlas son ornamentales.
"	['ILCA089_IMG_8399.jpg', 'ILCA089_IMG_8400.jpg', 'ILCA089_IMG_8401.jpg', 'ILCA089_IMG_8402.jpg']	Hatband	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Qaqachaka, Bolivia, Central Altiplano		Asanaque	Abstract zigzag, Diamond in general, Volutes in zigzag	Weft figure	Weft-faced structure, warped in 1 layer	Aymara-Quechua-Asanaque		Structural component	Warp thread	Cotton thread						Weft thread		Oblique interlacing, Weft-faced cloth			Major contrast	Chain-stitch										
ILCA_ILCA090	"Pulsera de muñeca, de Qaqachaka, en el Altiplano central de Bolivia, estilo Asanaque, subestilo Qaqachaka.
La pulsera está elaborada en lana acrílica, en técnica de macramé con una composición de figuras en rombos.
Los jóvenes adolescentes llevan estas pulseras en la muñeca a modo de protección contra los males.
"	['ILCA090_IMG_8394.jpg', 'ILCA090_IMG_8395.jpg']	Wristband	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Qaqachaka, Bolivia, Central Altiplano		Asanaque	Diamond in general	Interknotting technique	Interknotting structure	Aymara-Quechua-Asanaque	Band	Structural component										Interknotting			Major contrast											
ILCA_ILCA091	"Lliclla pequeña cuadrada, de pampa negra, de ayllu Macha, en los Valles interandinos central de Bolivia, de estilo Qharaqhara norte.
La lliclla es tejida en faz de urdimbre, y elaborada en fibra de camélido (alpaca) y lana acrílica, con colores naturales y artificiales.
La lliclla está construida de dos piezas unidas con una costura central en puntada en ocho.
No tiene acabado en los bordes.
La estructura está urdida a dos con técnica de escogido con conteo por impar derivado, 2|1.
 La composición es de pampa de color negro con bordes laterales con listas de color y  una banda angosta de chevrones.
Las dos bandas mayores en el eje central son de zigzags (link'u) flanqueados con listas medianas y angostas.
La gama cromática es característicamente de negros, guindos, rosados y violetas como oscuros, con amarillo y blanco como claros.
"	['ILCA091_IMG_7070.jpg', 'ILCA091_IMG_7072.jpg', 'ILCA091_IMG_7074.jpg', 'ILCA091_IMG_7077.jpg', 'ILCA091_IMG_7078.jpg']	Black pampa mantle	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Macha, Bolivia, Central Interandean Valleys		North Qharaqhara	'S' or 'Z' motif, Chevron, Macha type of zigzag, Medium-sized stripe, Narrow stripe, Pampa, Single ladder motif, Spoon-like ornament	Selected technique counted in pairs, 2|2	Simple warp-faced structure, warped in 2 layers	Aymara-Quechua-North Qharaqhara	Grouping of bands, Grouping of very wide stripe and strips		Warp thread	Probably alpaca						Warp thread	Warp thread	Warp-faced cloth			Major contrast									Weft thread		
ILCA_ILCA092	"Faja ancha festiva de Chilca en ayllu Laymi (Norte Potosí), en los Valles interandinos centro de Bolivia, de estilo Charkas norte, subestilo Laymi-Chayanta.
La faja está tejida en faz de urdimbre y elaborada en lana acrílica con colores artificales.
Los bordes laterales de la faja tienen un acabado de tela industrial adjuntada de tipo encaje, con un efecto plateado.
La faja está terminada en un extremo de forma recta y en el otro con trenzado de extensiones de urdimbre.
Ambos extremos cuentan con sujetadores adjuntados con técnica de trencilla (tirinsa o urdimbre cruzada con 1 trama), con figuras de ojo de paloma (ulpiskitu).
La composición mayor de la faja es de una sola banda de diseños en el eje central organzada en segmentos, cada uno de los cuales compone un tipo de escena: de narrativa, de viaje, etc.
Un segmento lleva un motivo de ave (del tipo cóndor), otro tiene motivos de saltamontés, aún otro tiene el motivo de un barco de viaje, otro tiene un helicóptero, otro tiene un tigre cazando un conejo y la banda termina con dos segmentos de semillas en fila horizontal.
La structura de la faja es urdida a tres, con la técnica para doble tela compleja, con 2 tramas, pero de una sola cara.
Esta técnica es de última moda en la región en el año 2012.
Es interesante que la iconografía de esta faja imita el delineado de los motivos de la técnica de reescogido por unidad (ajllita) que era la técnica de moda previamente en la zona.
"	['ILCA092_IMG_8549.jpg', 'ILCA092_IMG_8550.jpg', 'ILCA092_IMG_8551.jpg', 'ILCA092_IMG_8552.jpg', 'ILCA092_IMG_8553.jpg', 'ILCA092_IMG_8567.jpg']	Wide belt	Republican Period (1825-present)	Aymara Language and Culture Institute, website	Ayllu Laymi, Bolivia, Central Interandean Valleys		North Charcas	Condor, Feline figure, Grasshopper, Helicopter, Rabbit, Ship	Complex double cloth technique, with 2 wefts	Complex warp-faced structure, warped in 3 layers	Aymara-Quechua-North Charcas	Band	Structural component	Warp thread	Acrylic wool						Weft thread		Warp-faced cloth			Major contrast	Braided cord as warp extension										
ILCA_INI001	"Bolsa-chuspa, de forma livianamente rectangular larga, en faz de urdimbre, elaborada en fibra de camélido.
La construcción es de una sola pieza doblada para formar la bolsa y cosido en los costados.
En un costado de la bolsa se tiene puntada en zigzag en tres colores, y se ve también restos de encandelillado simple en bloques de color.
La boca de la bolsa tiene acabado de anillado cruzado doble y hay un huato o cordón doble torsionado en S adjuntado a un lado.
La composición de la bolsa presenta alternancia de listas angostas y mediana de varios colores: azul, roja, amarillo, café y rosado, de forma asimétrica.
La pieza tiene una estructura simple, urdida en una sola capa, y la técnica simple o llana (ina sawu).
"	['INI001_IMG_1294.jpg', 'INI001_IMG_1295.jpg', 'INI001_IMG_1296.jpg']	Ceremonial coca bag	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Altiplano, Puqui	Bolivia, Central Altiplano, Puqui	Cabuza	Medium-sized stripe, Narrow stripe	Plainweave technique	Simple warp-faced structure, warped in 1 layer	Local groups	Grouping of strips	Added component, Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Brown, Reddish brown, Reddish violet, Yellowish brown			Complex cross-knit loop stitch in one single colour, Constructed opening										
ILCA_INI002	"Bolsita personal en faz de urdimbre, elaborada de fibra de camélido en colores blanco y café.
La estructura es simple (urdida a uno) y la técnica es simple o llana (ina sawu).
La construcción es de una sola pieza doblada para formar la bolsa, con cosido de las costuras laterales con puntada de hilván.
La boca tiene mayor densidad de hilos de urdimbre como siempre (pulu), y tiene sólo el inicio de un acabado de encandelillado simple en color café.
En la composición de la pieza alterna listas medianas en color café medio y blanco.
"	['INI002_IMG_1300.jpg', 'INI002_IMG_1301.jpg', 'INI002_IMG_1303.jpg']	Personal bag	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Altiplano, Puqui	Bolivia, Central Altiplano, Puqui	Cabuza	Medium-sized stripe	Plainweave technique	Simple warp-faced structure, warped in 1 layer	Local groups	Grouping of strips	Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Greyish white, Reddish brown			Constructed opening, Overcasting stitch, buttonhole stitch, Selvedge with greater density of warp threads										
ILCA_INI003	"Bolsa-chuspa livianamente rectangular, en faz de urdimbre, elaborada de algodón y fibra de camélido.
Cuenta con una correa ancha en fibra de camélido con técnica de urdimbres transpuestas en zigzags, con los colores rojo mediano y oscuro, azul, blanco, y café oscuro y claro.
El uso del rojo y azul implica la importancia ritual de la bolsa y del estatus del usuario, lo que confirma las técnicas y colores de la tira.
El acabado de los costados tiene festón anillado cruzado con color.
La composición de la bolsa en sí es de listas llanas en algodón blanco intercaladas con franjas con técnica de peinecillo con color intercalado (k'uthu), contado por par, con colores azul claro, rojo, amarillo y verde claro, y con café claro y oscuro.
"	['INI003_IMG_1306.jpg', 'INI003_IMG_1308.jpg', 'INI003_IMG_1310.jpg', 'INI003_IMG_1312.jpg', 'INI003_IMG_1313.jpg']	Ceremonial coca bag	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Abstract zigzag, Medium-sized stripe, Multiple ladder motif, Narrow stripe	Multiple ladder technique, with even count, 2|2 and 4|4, Transposed warp technique with 1 weft selected singly	Simple warp-faced structure, warped in 2 layers, Transposed warp structure with 1 weft, warped in 1 layer		Grouping of bands, Grouping of strips	Added component, Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Warp thread	Transposed warp with multiple interlaced wefts, Warp-faced cloth	Brown, Greenish-blue, Greyish white, Reddish brown, Reddish orange, Reddish violet, Sage green		Intermediate	Complex cross-knit loop stitch in one single colour, Constructed opening								Weft thread	Weft thread	
ILCA_INI004	"Fragmento de faja angosta de contexto funerario en faz de urdimbre, elaborado en fibra de camélido.
Tiene una estructura urdida a dos y técnica de escogido con urdimbre pareada en liyi palla.
El fondo de la urdimbre pareada es de color azul oscuro y los diseños geométricos son de doble ganchos o volutas entrelazadas (en S y Z).
Los diseños están organizados en listas de color en el eje longitudinal de la faja, de rosado, azul claro, amarillo y verde claro que luego repite.
Los bordes laterales están terminados en hilo de color café.
"	['INI004_IMG_1317.jpg', 'INI004_IMG_1319.jpg', 'INI004_IMG_1321.jpg', 'INI004_IMG_1322.jpg']	Narrow belt	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Geometric pattern in general	Selected technique with paired warps	Simple warp-faced structure, warped in 2 layers		Band	Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Brown, Reddish brown		Major contrast											
ILCA_INI005	"Fragmento de faja, en faz de urdimbre, elaborado en fibra de camélido.
No presenta costuras ni acabado.
La composición es de diseños geométricos escalonados organizados en ejes diagonales, en un color oscuro sobre un fondo de listas de color (de rojo claro, azul claro y amarillo, con bordes de color café.
La estructura es urdida a dos, y la técnica de escogido con un conteo por impar básico, 1|1 (maya palla).
"	['INI005_IMG_1326.jpg', 'INI005_IMG_1328.jpg']	Belt fragment	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Stepped form	Selected technique with basic odd count, 1|1	Simple warp-faced structure, warped in 2 layers		Band	Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Reddish brown		Intermediate				Diagonal							
ILCA_INI006	"Pequeño fragmento muy fino, posiblemente de la tira de bolsa, en faz de urdimbre, elaborado de fibra de camélido.
No presenta costuras ni acabado.
La composición es el resultado de la aplicación de la técnica de urdimbre traspuesta con una trama, urdida a uno, que forma un patrón de rombos en azul y otros colores (café, amarillo, rosado).
"	['INI006_IMG_1332.jpg', 'INI006_IMG_1336.jpg']		Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Diamond in general	Transposed warp technique with 1 weft selected singly	Transposed warp structure with 1 weft, warped in 1 layer		Band	Added component	Warp thread	Camelid fibre						Weft thread		Transposed warp with multiple interlaced wefts	Blue, Grey, Reddish brown						Interlinked							
ILCA_INI007	"Bolsa agropastoril pequeño, de forma casi cuadrada, posiblemente un semillero, en faz de urdimbre, elaborada en fibra de camélido.
Está compuesta de una sola pieza doblada por la mitad y unida en los costados.
Tiene restos de acabado de festón simple (ixpa) en los dos bordes laterales.
Presenta un efecto vareteado de la superficie (ch'imi) por la variación en el color de la fibra de urdimbre de café medio a café claro.
La composición está compuesta por seis listas llanas medianas de color blanco intercaladas con seis bandas de peinecillo con color intercalado (k'uthu) en café y blanco, con conteo por par.
Un extremo de la bolsa tiene una lista de color negro, y el patrón de la bolsa es asimétrico o sino, una parte a la derecha ya se ha desgastado y se termina en una lista de color blanco que es en realizada de la interior de la pieza.
Tiene una estructura simple urdida a uno y la técnica simple o llana (ina sawu) en las listas llanas y urdida a dos, en la banda de peinecillo (k'uthu).
"	['INI007_IMG_1348.jpg', 'INI007_IMG_1349.jpg', 'INI007_IMG_1350.jpg', 'INI007_IMG_1352.jpg', 'INI007_IMG_1353.jpg']	Seedbag	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Altiplano, Puqui	Bolivia, Central Altiplano, Puqui	Cabuza	Medium-sized stripe, Multiple ladder motif	Multiple ladder technique, with even count, 2|2 and 4|4	Simple warp-faced structure, warped in 2 layers	Local groups	Grouping of bands, Grouping of strips	Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Pink, Reddish brown		Major contrast	Constructed opening, Overcasting stitch, buttonhole stitch										
ILCA_INI008	"Fragmento de faja-bolsa, en faz de urdimbre, elaborado en fibra de camélido.
Está compuesta de dos piezas unidas por puntada de hilván en los costados.
Tiene restos de acabado de festón anillado cruzado con color (apsu) en colores azul, rojo, amarillo, verde.
Tiene dos anillos en un central de un extremo formados en festón en ojal, probablemente para los cordones para sujetar la faja.
La pieza no tiene motivos y la parte principal está en tejido llano, urdido en una sola capa, en color café medio.
"	['INI008_IMG_1358.jpg', 'INI008_IMG_1359.jpg', 'INI008_IMG_1362.jpg']	Bag-belt fragment	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Altiplano, Puqui	Bolivia, Central Altiplano, Puqui	Provincial Tiwanaku	Pampa	Plainweave technique	Simple warp-faced structure, warped in 1 layer	Provincial Tiwanaku			Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Grey, Reddish brown, Yellowish brown			Blanket stitch, Complex cross-knit loop stitch in one single colour, Constructed opening										
ILCA_INI009	"Fragmento, probablemente de la tira o correa de una bolsa, en faz de urdimbre, elaborado en tres tipos de material: fibra de camélido y fibra vegetal en los hilos de urdimbre, y algodón y fibra vegetal en hilos de trama.
No presenta costuras.
Tiene acabado de orilla de tramas múltiples, tres por lado.
La composición es una banda de motivos de rombos formados por la técnica de urdimbre traspuesta conjuntamente con el uso de peinecillo con color en fila (patapata), en colores verde y café a través de toda la pieza.
La pieza está urdida a dos con las técnicas de urdimbre traspuesta y de peinecillo con color en fila (patapata) y en la parte llana es urdida a uno con técnica llana.
"	['INI009_IMG_1363.jpg', 'INI009_IMG_1365.jpg', 'INI009_IMG_1366.jpg', 'INI009_IMG_1368.jpg']	Bag strap fragment	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Diamond in general, Medium-sized stripe, Single ladder motif	Transposed warp technique with 1 weft selected singly	Transposed warp structure with 1 weft, warped in 2 layers		Band	Added component	Warp thread	Vegetable fibre, vegetable fiber Vegetal fibre						Warp thread	Warp thread	Transposed warp with multiple interlaced wefts, Warp-faced cloth	Brown, Green, Reddish brown		Major contrast	Selvedge with multiple wefts			Interlinked					Weft thread	Weft thread	
ILCA_INI010	"Fragmento de faja, en faz de urdimbre, elaborado en fibra de camélido (probablemente llama).
No tiene costuras.
Tiene acabado de festón en cruz y festón anillado cruzado en bloques de monocolor.
La composición es de una banda con una fila de rombos concéntricos que alternan entre dos capas de color en blanco deteriorado y café oscuro a través de toda la pieza.
La estructura es urdida a dos, y la técnica es posiblemente peinecillo con color intercalado y con figura (k'uthu palla), con un conteo por impar, en 2|3.
"	['INI010_IMG_1371.jpg', 'INI010_IMG_1373.jpg', 'INI010_IMG_1375.jpg', 'INI010_IMG_1376.jpg']	Belt fragment	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Diamond in general	Multiple ladder technique with figure, and odd count, 3|3	Simple warp-faced structure, warped in 2 layers		Band	Structural component	Warp thread	Probably llama						Weft thread		Warp-faced cloth	Reddish brown, Yellowish brown		Major contrast	Cross stitch, Simple cross-knit loop stitch in one single colour			Row of							
ILCA_INI011	"Fragmento en faz de urdimbre, elaborado en fibra de camélido, posiblemente de una bolsa.
No tiene costuras ni acabado.
Tiene restos de un huato de hilos torcidos en algodón adjuntado al fragmento.
En la composición, la banda principal es un motivo geométrico de trono y lengua y un contorno aserrado.
Esta banda está flanqueada por un conjunto de listas llana medianas y angostas intercaladas con bandas estrechas de peinecillo con color intercalado (k'uthu) con un conteo por par.
La estructura de las listas llanas es urdida en una sola capa con técnica llana (ina sawu).
La banda principal está urdida a dos en técnica de escogido con conteo por par, 2|2 (paris palla).
Las bandas angostas de peinecillo en color intercalado tienen colores intercalados en rojo, café, negro y blanco.
"	['INI011_IMG_1379.jpg', 'INI011_IMG_1381.jpg', 'INI011_IMG_1382.jpg']		Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Medium-sized stripe, Multiple ladder motif, Narrow stripe, Tongue and throne motif	Selected technique counted in pairs, 2|2	Simple warp-faced structure, warped in 2 layers		Grouping of bands, Grouping of strips	Added component, Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Warp-faced cloth	Grey, Pink, Reddish brown		Intermediate		Stepped									
ILCA_INI012	"Fragmento de banda, faja, o tira de bolsa, en faz de urdimbre, elaborado en algodón en la trama, y de fibra de camélido en los hilos de color de la urdimbre, y en algodón en los hilos de urdimbre de color blanco.
La pieza carece de costuras o acabado.
La composición es de una banda con siete franjas de peinecillo con color intercalado (k'uthu) con ramificación, contado por par, en que se alternan las franjas de colores de azul y café, con listas de color blanco.
La estructura es urdida a dos.
"	['INI012_IMG_1388.jpg', 'INI012_IMG_1389.jpg', 'INI012_S1_1389.png']	Belt fragment	Middle Horizon (600-1000 AD)	Institute of Anthropological Research and Archaeological Museum, Universidad Mayor de San Simón, website	Bolivia, Central Interandean Valleys, Mojocoya	Bolivia, Central Interandean Valleys, Mojocoya	Mojocoya	Multiple ladder motif, Narrow stripe	Multiple ladder technique, with even count, 2|2 and 4|4, and 1 weft	Simple warp-faced structure, warped in 2 layers		Grouping of bands, Grouping of strips	Structural component	Warp thread	Cotton fibre, cotton fiber Cotton thread						Weft thread	Weft thread	Warp-faced cloth	Blue, Greyish white, Pink, Reddish brown		Major contrast		Branching out		Ramified	Translation						
